model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_heat_only,days_wind_only,days_other_compound
weather_adjusted,Atlanta,episode_vs_reference,2.4482205294006545,1.4906481839036863,3.4057928748976227,approximate_delete_one_year_jackknife_t,1.6685142864388913,2.972346601409741,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,15,15,271.975351360151,2.948141468725034,99,134,244,36
weather_adjusted,Atlanta,heat_only_vs_reference,0.01611620113826978,-0.6088584309686049,0.6410908332451444,approximate_delete_one_year_jackknife_t,-0.4633957632135071,0.5053951412720004,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,15,15,271.975351360151,2.948141468725034,99,134,244,36
weather_adjusted,Atlanta,wind_only_vs_reference,1.8930891147056927,1.3563500397005797,2.429828189710806,approximate_delete_one_year_jackknife_t,1.446312480778575,2.2285055843845893,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,15,15,271.975351360151,2.948141468725034,99,134,244,36
weather_adjusted,Atlanta,other_compound_vs_reference,1.2161531436837876,-0.5092467069759783,2.9415529943435534,approximate_delete_one_year_jackknife_t,-0.021984058752128874,2.61811715719957,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,15,15,271.975351360151,2.948141468725034,99,134,244,36
weather_adjusted,Atlanta,episode_vs_heat_only,2.4321043282623847,1.8190769024664197,3.0451317540583496,approximate_delete_one_year_jackknife_t,1.986326526308147,2.8415748307647783,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,15,15,271.975351360151,2.948141468725034,99,134,244,36
weather_adjusted,Atlanta,episode_vs_wind_only,0.5551314146949617,-0.013156925668607822,1.1234197550585314,approximate_delete_one_year_jackknife_t,0.12525841097854198,0.9346291025087679,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,15,15,271.975351360151,2.948141468725034,99,134,244,36
weather_adjusted,Chicago,episode_vs_reference,4.937618872747777,3.3774090826370826,6.4978286628584705,approximate_delete_one_year_jackknife_t,3.9306009705210014,6.417663257298971,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,15,15,146.38085977300784,3.8253780644737714,36,155,289,66
weather_adjusted,Chicago,heat_only_vs_reference,0.47071055461012135,-0.7288172809573163,1.670238390177559,approximate_delete_one_year_jackknife_t,-0.18134874795852962,1.269087415113415,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,15,15,146.38085977300784,3.8253780644737714,36,155,289,66
weather_adjusted,Chicago,wind_only_vs_reference,4.609408680924144,3.907300430844252,5.311516931004036,approximate_delete_one_year_jackknife_t,4.058911432698796,5.01878476820832,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,15,15,146.38085977300784,3.8253780644737714,36,155,289,66
weather_adjusted,Chicago,other_compound_vs_reference,4.542970387399388,3.858639601981276,5.2273011728175,approximate_delete_one_year_jackknife_t,4.195906562898488,4.974067749339362,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,15,15,146.38085977300784,3.8253780644737714,36,155,289,66
weather_adjusted,Chicago,episode_vs_heat_only,4.466908318137655,1.9903528852570953,6.943463751018214,approximate_delete_one_year_jackknife_t,2.7395056694658173,6.494530739297739,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,15,15,146.38085977300784,3.8253780644737714,36,155,289,66
weather_adjusted,Chicago,episode_vs_wind_only,0.32821019182363287,-1.3757144861275112,2.0321348697747768,approximate_delete_one_year_jackknife_t,-0.7439159715773691,1.8553236774727164,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,15,15,146.38085977300784,3.8253780644737714,36,155,289,66
weather_adjusted,Dallas,episode_vs_reference,2.40859979039826,0.7393441950469397,4.07785538574958,approximate_delete_one_year_jackknife_t,1.0489441059512543,3.6336377782874996,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,15,15,154.24168867978705,2.5152275740313565,44,217,297,42
weather_adjusted,Dallas,heat_only_vs_reference,-1.05950764762544,-2.3487807313399154,0.22976543608903532,approximate_delete_one_year_jackknife_t,-1.9206420985537433,-0.1556065911260145,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,15,15,154.24168867978705,2.5152275740313565,44,217,297,42
weather_adjusted,Dallas,wind_only_vs_reference,3.056207273613084,2.5396928493263355,3.572721697899832,approximate_delete_one_year_jackknife_t,2.6559377059172613,3.470225690684111,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,15,15,154.24168867978705,2.5152275740313565,44,217,297,42
weather_adjusted,Dallas,other_compound_vs_reference,1.5180544049134148,0.08206618250280284,2.954042627324027,approximate_delete_one_year_jackknife_t,0.40445916349016,2.384826620584069,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,15,15,154.24168867978705,2.5152275740313565,44,217,297,42
weather_adjusted,Dallas,episode_vs_heat_only,3.4681074380237,2.6796437719295483,4.256571104117851,approximate_delete_one_year_jackknife_t,2.6977634433355444,3.9372585766409385,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,15,15,154.24168867978705,2.5152275740313565,44,217,297,42
weather_adjusted,Dallas,episode_vs_wind_only,-0.647607483214824,-2.1599214192746516,0.8647064528450037,approximate_delete_one_year_jackknife_t,-1.9593785035647346,0.3433289374356461,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,15,15,154.24168867978705,2.5152275740313565,44,217,297,42
weather_adjusted,Denver,episode_vs_reference,2.0490990458899025,-0.3187109066608129,4.4169089984406185,approximate_delete_one_year_jackknife_t,0.28631717959873537,3.872801697640651,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,15,15,250.3250575606537,3.3500747394036923,12,215,366,37
weather_adjusted,Denver,heat_only_vs_reference,0.5480974145719018,-0.7193092914661998,1.8155041206100033,approximate_delete_one_year_jackknife_t,-0.2675948450850378,1.494341527415253,conditional_on_estimability,5000,6040,1284,5,1461,12,6,6,15,15,250.3250575606537,3.3500747394036923,12,215,366,37
