model,omitted_year,contrast,estimate_ppb,n_cities,n_estimable_cities,missing_cities
weather_adjusted,2019,episode_vs_reference,3.0782200602969865,11,11,
weather_adjusted,2019,heat_only_vs_reference,0.43572025729580394,11,11,
weather_adjusted,2019,wind_only_vs_reference,2.8193574253671083,11,11,
weather_adjusted,2019,other_compound_vs_reference,2.593381648083933,11,11,
weather_adjusted,2019,episode_vs_wind_only,0.25886263492987865,11,11,
weather_adjusted,2019,episode_vs_heat_only,2.642499803001183,11,11,
weather_adjusted,2020,episode_vs_reference,3.084602605525822,11,11,
weather_adjusted,2020,heat_only_vs_reference,0.5142114327698057,11,11,
weather_adjusted,2020,wind_only_vs_reference,2.8812973509405118,11,11,
weather_adjusted,2020,other_compound_vs_reference,2.807200944877083,11,11,
weather_adjusted,2020,episode_vs_wind_only,0.2033052545853108,11,11,
weather_adjusted,2020,episode_vs_heat_only,2.570391172756017,11,11,
weather_adjusted,2021,episode_vs_reference,3.136921513584883,11,11,
weather_adjusted,2021,heat_only_vs_reference,0.5456828438163757,11,11,
weather_adjusted,2021,wind_only_vs_reference,2.8165990570771857,11,11,
weather_adjusted,2021,other_compound_vs_reference,2.612339121972863,11,11,
weather_adjusted,2021,episode_vs_wind_only,0.32032245650769703,11,11,
weather_adjusted,2021,episode_vs_heat_only,2.5912386697685075,11,11,
weather_adjusted,2022,episode_vs_reference,3.1074988636230105,11,11,
weather_adjusted,2022,heat_only_vs_reference,0.5261514229006544,11,11,
weather_adjusted,2022,wind_only_vs_reference,2.738514199443195,11,11,
weather_adjusted,2022,other_compound_vs_reference,2.7964029662898797,11,11,
weather_adjusted,2022,episode_vs_wind_only,0.3689846641798145,11,11,
weather_adjusted,2022,episode_vs_heat_only,2.5813474407223556,11,11,
weather_adjusted,2023,episode_vs_reference,3.2802836909231563,11,11,
weather_adjusted,2023,heat_only_vs_reference,0.6316716371919581,11,11,
weather_adjusted,2023,wind_only_vs_reference,2.856361901300087,11,11,
weather_adjusted,2023,other_compound_vs_reference,2.9363604944353288,11,11,
weather_adjusted,2023,episode_vs_wind_only,0.42392178962306937,11,11,
weather_adjusted,2023,episode_vs_heat_only,2.6486120537311986,11,11,
weather_adjusted,2024,episode_vs_reference,3.2368102222541753,11,11,
weather_adjusted,2024,heat_only_vs_reference,0.5766171117450906,11,11,
weather_adjusted,2024,wind_only_vs_reference,2.796966993222208,11,11,
weather_adjusted,2024,other_compound_vs_reference,2.7781035585867055,11,11,
weather_adjusted,2024,episode_vs_wind_only,0.43984322903196776,11,11,
weather_adjusted,2024,episode_vs_heat_only,2.6601931105090855,11,11,
