model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
weather_adjusted,episode_vs_reference,Atlanta,2.431055013961971,True,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
weather_adjusted,episode_vs_reference,Chicago,4.650276859354266,True,4644,1284,4,1108,108,33,14,98,6,6,15,15,152.87300305578498,3.836702686844897,1284.0,108,33,2723,738,554,158,1025,290,234,65
weather_adjusted,episode_vs_reference,Dallas,2.4526917347750365,True,4519,1284,4,1109,156,46,14,85,6,6,15,15,169.5572349287981,2.5172036121421506,1284.0,156,46,2490,686,704,218,1035,295,134,39
weather_adjusted,episode_vs_reference,Denver,1.5699914297162878,True,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
weather_adjusted,episode_vs_reference,Houston,1.970963037175655,True,10963,1284,10,2687,649,76,22,118,6,6,15,15,478.7128282747042,3.191476308450163,1284.0,649,76,5754,664,1706,207,2506,295,348,42
weather_adjusted,episode_vs_reference,Los Angeles,3.0736550723946645,True,9253,1284,8,2148,556,76,24,127,6,6,15,15,808.9937690308185,3.235888966682379,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
weather_adjusted,episode_vs_reference,New York,4.52367019812234,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
weather_adjusted,episode_vs_reference,Philadelphia,2.0993399560142123,True,5975,1284,6,1435,145,33,13,76,6,6,15,15,166.97000486410676,3.402048666366753,1284.0,145,33,3414,730,743,164,1474,314,199,43
weather_adjusted,episode_vs_reference,Phoenix,3.226334421512022,True,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
weather_adjusted,episode_vs_reference,San Diego,2.2691726008017374,True,5051,1284,5,1198,291,72,26,110,6,6,15,15,655.8046341843332,1.6655520161677795,1284.0,291,72,2858,735,559,140,1193,299,150,38
weather_adjusted,episode_vs_reference,Seattle,6.47313979844732,True,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
weather_adjusted,heat_only_vs_reference,Atlanta,0.008936668937794268,True,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
weather_adjusted,heat_only_vs_reference,Chicago,0.49322686989435427,True,4644,1284,4,1108,108,33,14,98,6,6,15,15,152.87300305578498,3.836702686844897,1284.0,108,33,2723,738,554,158,1025,290,234,65
weather_adjusted,heat_only_vs_reference,Dallas,-1.0692533780980817,True,4519,1284,4,1109,156,46,14,85,6,6,15,15,169.5572349287981,2.5172036121421506,1284.0,156,46,2490,686,704,218,1035,295,134,39
weather_adjusted,heat_only_vs_reference,Denver,0.4470757102567877,True,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
weather_adjusted,heat_only_vs_reference,Houston,-1.2726455892053365,True,10963,1284,10,2687,649,76,22,118,6,6,15,15,478.7128282747042,3.191476308450163,1284.0,649,76,5754,664,1706,207,2506,295,348,42
weather_adjusted,heat_only_vs_reference,Los Angeles,0.8851013100364484,True,9253,1284,8,2148,556,76,24,127,6,6,15,15,808.9937690308185,3.235888966682379,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
weather_adjusted,heat_only_vs_reference,New York,1.1704824493148456,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
weather_adjusted,heat_only_vs_reference,Philadelphia,0.8799273227185809,True,5975,1284,6,1435,145,33,13,76,6,6,15,15,166.97000486410676,3.402048666366753,1284.0,145,33,3414,730,743,164,1474,314,199,43
weather_adjusted,heat_only_vs_reference,Phoenix,-0.0990975857087662,True,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
weather_adjusted,heat_only_vs_reference,San Diego,0.7112501241813627,True,5051,1284,5,1198,291,72,26,110,6,6,15,15,655.8046341843332,1.6655520161677795,1284.0,291,72,2858,735,559,140,1193,299,150,38
weather_adjusted,heat_only_vs_reference,Seattle,3.768846636203703,True,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
weather_adjusted,wind_only_vs_reference,Atlanta,1.8571619100780707,True,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
weather_adjusted,wind_only_vs_reference,Chicago,4.396163106609146,True,4644,1284,4,1108,108,33,14,98,6,6,15,15,152.87300305578498,3.836702686844897,1284.0,108,33,2723,738,554,158,1025,290,234,65
weather_adjusted,wind_only_vs_reference,Dallas,3.0684627428705564,True,4519,1284,4,1109,156,46,14,85,6,6,15,15,169.5572349287981,2.5172036121421506,1284.0,156,46,2490,686,704,218,1035,295,134,39
weather_adjusted,wind_only_vs_reference,Denver,1.2942301041247999,True,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
weather_adjusted,wind_only_vs_reference,Houston,3.6516691483971377,True,10963,1284,10,2687,649,76,22,118,6,6,15,15,478.7128282747042,3.191476308450163,1284.0,649,76,5754,664,1706,207,2506,295,348,42
weather_adjusted,wind_only_vs_reference,Los Angeles,2.370606169173412,True,9253,1284,8,2148,556,76,24,127,6,6,15,15,808.9937690308185,3.235888966682379,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
weather_adjusted,wind_only_vs_reference,New York,4.333013844874474,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
weather_adjusted,wind_only_vs_reference,Philadelphia,1.9752202848772287,True,5975,1284,6,1435,145,33,13,76,6,6,15,15,166.97000486410676,3.402048666366753,1284.0,145,33,3414,730,743,164,1474,314,199,43
weather_adjusted,wind_only_vs_reference,Phoenix,3.181136519823289,True,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
weather_adjusted,wind_only_vs_reference,San Diego,1.1681062955663866,True,5051,1284,5,1198,291,72,26,110,6,6,15,15,655.8046341843332,1.6655520161677795,1284.0,291,72,2858,735,559,140,1193,299,150,38
weather_adjusted,wind_only_vs_reference,Seattle,3.71979177346451,True,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
weather_adjusted,other_compound_vs_reference,Atlanta,1.2771039255977528,True,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
weather_adjusted,other_compound_vs_reference,Chicago,4.58520294073803,True,4644,1284,4,1108,108,33,14,98,6,6,15,15,152.87300305578498,3.836702686844897,1284.0,108,33,2723,738,554,158,1025,290,234,65
weather_adjusted,other_compound_vs_reference,Dallas,1.4326341396810633,True,4519,1284,4,1109,156,46,14,85,6,6,15,15,169.5572349287981,2.5172036121421506,1284.0,156,46,2490,686,704,218,1035,295,134,39
weather_adjusted,other_compound_vs_reference,Denver,0.9721395038651346,True,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
weather_adjusted,other_compound_vs_reference,Houston,1.3029907184632261,True,10963,1284,10,2687,649,76,22,118,6,6,15,15,478.7128282747042,3.191476308450163,1284.0,649,76,5754,664,1706,207,2506,295,348,42
weather_adjusted,other_compound_vs_reference,Los Angeles,3.101197112266538,True,9253,1284,8,2148,556,76,24,127,6,6,15,15,808.9937690308185,3.235888966682379,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
weather_adjusted,other_compound_vs_reference,New York,3.8706809142478145,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
weather_adjusted,other_compound_vs_reference,Philadelphia,1.9102892732677772,True,5975,1284,6,1435,145,33,13,76,6,6,15,15,166.97000486410676,3.402048666366753,1284.0,145,33,3414,730,743,164,1474,314,199,43
weather_adjusted,other_compound_vs_reference,Phoenix,2.1059647954763023,True,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
weather_adjusted,other_compound_vs_reference,San Diego,1.993626631550402,True,5051,1284,5,1198,291,72,26,110,6,6,15,15,655.8046341843332,1.6655520161677795,1284.0,291,72,2858,735,559,140,1193,299,150,38
weather_adjusted,other_compound_vs_reference,Seattle,7.723064597754309,True,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
weather_adjusted,episode_vs_wind_only,Atlanta,0.5738931038839001,True,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
weather_adjusted,episode_vs_wind_only,Chicago,0.2541137527451198,True,4644,1284,4,1108,108,33,14,98,6,6,15,15,152.87300305578498,3.836702686844897,1284.0,108,33,2723,738,554,158,1025,290,234,65
weather_adjusted,episode_vs_wind_only,Dallas,-0.6157710080955199,True,4519,1284,4,1109,156,46,14,85,6,6,15,15,169.5572349287981,2.5172036121421506,1284.0,156,46,2490,686,704,218,1035,295,134,39
weather_adjusted,episode_vs_wind_only,Denver,0.2757613255914879,True,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
weather_adjusted,episode_vs_wind_only,Houston,-1.6807061112214827,True,10963,1284,10,2687,649,76,22,118,6,6,15,15,478.7128282747042,3.191476308450163,1284.0,649,76,5754,664,1706,207,2506,295,348,42
weather_adjusted,episode_vs_wind_only,Los Angeles,0.7030489032212524,True,9253,1284,8,2148,556,76,24,127,6,6,15,15,808.9937690308185,3.235888966682379,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
weather_adjusted,episode_vs_wind_only,New York,0.19065635324786623,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
weather_adjusted,episode_vs_wind_only,Philadelphia,0.12411967113698363,True,5975,1284,6,1435,145,33,13,76,6,6,15,15,166.97000486410676,3.402048666366753,1284.0,145,33,3414,730,743,164,1474,314,199,43
weather_adjusted,episode_vs_wind_only,Phoenix,0.04519790168873339,True,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
weather_adjusted,episode_vs_wind_only,San Diego,1.1010663052353509,True,5051,1284,5,1198,291,72,26,110,6,6,15,15,655.8046341843332,1.6655520161677795,1284.0,291,72,2858,735,559,140,1193,299,150,38
weather_adjusted,episode_vs_wind_only,Seattle,2.7533480249828095,True,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
weather_adjusted,episode_vs_heat_only,Atlanta,2.4221183450241766,True,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
weather_adjusted,episode_vs_heat_only,Chicago,4.157049989459912,True,4644,1284,4,1108,108,33,14,98,6,6,15,15,152.87300305578498,3.836702686844897,1284.0,108,33,2723,738,554,158,1025,290,234,65
weather_adjusted,episode_vs_heat_only,Dallas,3.5219451128731185,True,4519,1284,4,1109,156,46,14,85,6,6,15,15,169.5572349287981,2.5172036121421506,1284.0,156,46,2490,686,704,218,1035,295,134,39
weather_adjusted,episode_vs_heat_only,Denver,1.1229157194595,True,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
weather_adjusted,episode_vs_heat_only,Houston,3.2436086263809916,True,10963,1284,10,2687,649,76,22,118,6,6,15,15,478.7128282747042,3.191476308450163,1284.0,649,76,5754,664,1706,207,2506,295,348,42
weather_adjusted,episode_vs_heat_only,Los Angeles,2.1885537623582163,True,9253,1284,8,2148,556,76,24,127,6,6,15,15,808.9937690308185,3.235888966682379,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
weather_adjusted,episode_vs_heat_only,New York,3.3531877488074944,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
weather_adjusted,episode_vs_heat_only,Philadelphia,1.2194126332956314,True,5975,1284,6,1435,145,33,13,76,6,6,15,15,166.97000486410676,3.402048666366753,1284.0,145,33,3414,730,743,164,1474,314,199,43
weather_adjusted,episode_vs_heat_only,Phoenix,3.3254320072207886,True,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
weather_adjusted,episode_vs_heat_only,San Diego,1.5579224766203748,True,5051,1284,5,1198,291,72,26,110,6,6,15,15,655.8046341843332,1.6655520161677795,1284.0,291,72,2858,735,559,140,1193,299,150,38
weather_adjusted,episode_vs_heat_only,Seattle,2.7042931622436166,True,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
