model,city,input_station_days,input_city_days,input_episode_station_days,input_episode_city_days,input_observed_events,comparator,persistent_only,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
weather_adjusted,Atlanta,3704,1284,289,99,27,multicategory,False,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
weather_adjusted,Chicago,4663,1284,110,33,14,multicategory,False,4644,1284,4,1108,108,33,14,98,6,6,15,15,152.87300305578498,3.836702686844897,1284.0,108,33,2723,738,554,158,1025,290,234,65
weather_adjusted,Dallas,4551,1284,157,46,14,multicategory,False,4519,1284,4,1109,156,46,14,85,6,6,15,15,169.5572349287981,2.5172036121421506,1284.0,156,46,2490,686,704,218,1035,295,134,39
weather_adjusted,Denver,6049,1284,37,8,4,multicategory,False,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
weather_adjusted,Houston,11010,1284,650,76,22,multicategory,False,10963,1284,10,2687,649,76,22,118,6,6,15,15,478.7128282747042,3.191476308450163,1284.0,649,76,5754,664,1706,207,2506,295,348,42
weather_adjusted,Los Angeles,9254,1284,556,76,24,multicategory,False,9253,1284,8,2148,556,76,24,127,6,6,15,15,808.9937690308185,3.235888966682379,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
weather_adjusted,New York,10749,1284,468,56,21,multicategory,False,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
weather_adjusted,Philadelphia,5982,1284,146,33,13,multicategory,False,5975,1284,6,1435,145,33,13,76,6,6,15,15,166.97000486410676,3.402048666366753,1284.0,145,33,3414,730,743,164,1474,314,199,43
weather_adjusted,Phoenix,5991,1284,72,16,8,multicategory,False,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
weather_adjusted,San Diego,5057,1284,291,72,26,multicategory,False,5051,1284,5,1198,291,72,26,110,6,6,15,15,655.8046341843332,1.6655520161677795,1284.0,291,72,2858,735,559,140,1193,299,150,38
weather_adjusted,Seattle,2448,1282,79,40,16,multicategory,False,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
